DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
18/06/2021,33622.7,33622.7,33271.93,33290.08,569378
17/06/2021,34014.38,34091.79,33626.61,33823.45,355917
16/06/2021,34308.48,34333.25,33917.11,34033.67,348025
15/06/2021,34397.1,34420.38,34199.16,34299.33,274131
14/06/2021,34472.52,34472.52,34211.54,34393.75,302550
11/06/2021,34499.81,34618.09,34328.65,34479.6,262624
10/06/2021,34502.51,34737.79,34447.25,34466.24,310878
09/06/2021,34626.16,34654.67,34439.37,34447.14,246543
08/06/2021,34645.84,34665.38,34452.94,34599.82,296085
07/06/2021,34766.2,34820.91,34574.51,34630.24,259443
04/06/2021,34618.69,34772.12,34618.69,34756.39,271564
03/06/2021,34550.31,34667.41,34334.41,34577.04,299737
02/06/2021,34614.62,34706.65,34545.96,34600.38,265156
01/06/2021,34584.19,34849.32,34542.87,34575.31,294787
31/05/2021,N/A,N/A,N/A,N/A,N/A
28/05/2021,34558.5,34631.11,34520.09,34529.45,290852
27/05/2021,34432.47,34608.82,34389.24,34464.64,520626
26/05/2021,34336.34,34409.59,34271.44,34323.05,259807
25/05/2021,34428.66,34511.35,34266.03,34312.46,289949
24/05/2021,34253.87,34472.51,34253.87,34393.98,251806
21/05/2021,34121.91,34415.48,34121.91,34207.84,308842
20/05/2021,33906.3,34233.4,33872.41,34084.15,324395
19/05/2021,33945.81,33945.81,33473.8,33896.04,353998
18/05/2021,34351.18,34408.99,34044.1,34060.66,301781
17/05/2021,34375.29,34383.84,34176.65,34327.79,293356
14/05/2021,34050.86,34454.05,34050.86,34382.13,307383
13/05/2021,33624.74,34181.77,33623.49,34021.45,352805
12/05/2021,34206.4,34207.87,33555.22,33587.66,383577
11/05/2021,34572.74,34572.74,34075.31,34269.16,413181
10/05/2021,34785.27,35091.56,34741.57,34742.82,370038
07/05/2021,34578.27,34811.39,34464.31,34777.76,311627
06/05/2021,34245.11,34561.29,34185.06,34548.53,317117
05/05/2021,34163.99,34331.2,34039.66,34230.34,255811
04/05/2021,34080.2,34147.78,33765.68,34133.03,410172
03/05/2021,33904.89,34221.06,33904.89,34113.23,291339
30/04/2021,33988.75,33988.75,33784.96,33874.85,376105
29/04/2021,33855.64,34087.21,33744.28,34060.36,409604
28/04/2021,33860.46,33946.6,33805.56,33820.38,353023
27/04/2021,33932.13,34043.98,33870.46,33984.93,294947
26/04/2021,34044.23,34148.94,33941.37,33981.57,285406
23/04/2021,33804.52,34157.57,33713.29,34043.49,349669
22/04/2021,34109.88,34126.57,33717.19,33815.9,346575
21/04/2021,33808.3,34160.34,33773.8,34137.31,293512
20/04/2021,34034.18,34034.18,33687.01,33821.3,354199
19/04/2021,34182.38,34182.38,33980.56,34077.63,315622
